xc   ycc    dycdxc 
0     0                
0.5   0.287   0.48535  
0.75  0.404   0.44925  
1.25  0.616   0.40359  
2.5   1.077   0.34104  
5.0   1.841   0.27718  
7.5   2.483   0.23868  
10    3.043   0.21050  
15    3.985   0.16892  
20    4.748   0.13734  
25    5.367   0.11101  
30    5.863   0.08775  
35    6.248   0.06634  
40    6.528   0.04601  
45    6.709   0.02613  
50    6.790   0.00620  
55    6.770  -0.01433  
60    6.644  -0.03611  
65    6.405  -0.06010  
70    6.037  -0.08790  
75    5.514  -0.12311  
80    4.771  -0.18412  
85    3.683  -0.23921  
90    2.435  -0.25583  
95    1.163  -0.24904  
100   0      -0.20385  
